"GO.ID","Term","Annotated","Significant","Expected","weightFisher","FDR"
"GO:0002705","positive regulation of leukocyte mediated immunity",3,0,0.28,1,1
"GO:0002706","regulation of lymphocyte mediated immunity",3,0,0.28,1,1
"GO:0002709","regulation of T cell mediated immunity",3,0,0.28,1,1
"GO:0002757","immune response-activating signaling pathway",19,0,1.76,1,1
"GO:0002758","innate immune response-activating signaling pathway",13,0,1.2,1,1
"GO:0002764","immune response-regulating signaling pathway",20,0,1.85,1,1
"GO:0002768","immune response-regulating cell surface receptor signaling pathway",7,0,0.65,1,1
"GO:0002819","regulation of adaptive immune response",3,0,0.28,1,1
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",3,0,0.28,1,1
"GO:0002831","regulation of response to biotic stimulus",14,0,1.3,1,1
"GO:0002833","positive regulation of response to biotic stimulus",13,0,1.2,1,1
"GO:0003006","developmental process involved in reproduction",11,0,1.02,1,1
"GO:0003007","heart morphogenesis",4,0,0.37,1,1
"GO:0003009","skeletal muscle contraction",4,0,0.37,1,1
"GO:0003012","muscle system process",5,0,0.46,1,1
"GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin",3,0,0.28,1,1
"GO:0003254","regulation of membrane depolarization",3,0,0.28,1,1
"GO:0003341","cilium movement",20,0,1.85,1,1
"GO:0003352","regulation of cilium movement",5,0,0.46,1,1
"GO:0003400","regulation of COPII vesicle coating",3,0,0.28,1,1
"GO:0005513","detection of calcium ion",3,0,0.28,1,1
"GO:0006066","alcohol metabolic process",3,0,0.28,1,1
"GO:0006082","organic acid metabolic process",17,0,1.57,1,1
"GO:0006260","DNA replication",4,0,0.37,1,1
"GO:0006352","DNA-templated transcription initiation",3,0,0.28,1,1
"GO:0006413","translational initiation",8,0,0.74,1,1
"GO:0006414","translational elongation",4,0,0.37,1,1
"GO:0006417","regulation of translation",5,0,0.46,1,1
"GO:0006451","translational readthrough",3,0,0.28,1,1
"GO:0006457","protein folding",5,0,0.46,1,1
"GO:0006469","negative regulation of protein kinase activity",3,0,0.28,1,1
"GO:0006470","protein dephosphorylation",15,0,1.39,1,1
"GO:0006487","protein N-linked glycosylation",6,0,0.56,1,1
"GO:0006520","amino acid metabolic process",13,0,1.2,1,1
"GO:0006575","modified amino acid metabolic process",4,0,0.37,1,1
"GO:0006605","protein targeting",11,0,1.02,1,1
"GO:0006612","protein targeting to membrane",3,0,0.28,1,1
"GO:0006613","cotranslational protein targeting to membrane",3,0,0.28,1,1
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",3,0,0.28,1,1
"GO:0006623","protein targeting to vacuole",7,0,0.65,1,1
"GO:0006631","fatty acid metabolic process",8,0,0.74,1,1
"GO:0006637","acyl-CoA metabolic process",4,0,0.37,1,1
"GO:0006643","membrane lipid metabolic process",9,0,0.83,1,1
"GO:0006650","glycerophospholipid metabolic process",5,0,0.46,1,1
"GO:0006664","glycolipid metabolic process",5,0,0.46,1,1
"GO:0006665","sphingolipid metabolic process",7,0,0.65,1,1
"GO:0006672","ceramide metabolic process",3,0,0.28,1,1
"GO:0006687","glycosphingolipid metabolic process",3,0,0.28,1,1
"GO:0006688","glycosphingolipid biosynthetic process",3,0,0.28,1,1
"GO:0006690","icosanoid metabolic process",3,0,0.28,1,1
"GO:0006692","prostanoid metabolic process",3,0,0.28,1,1
"GO:0006693","prostaglandin metabolic process",3,0,0.28,1,1
"GO:0006816","calcium ion transport",6,0,0.56,1,1
"GO:0006857","oligopeptide transport",3,0,0.28,1,1
"GO:0006887","exocytosis",9,0,0.83,1,1
"GO:0006891","intra-Golgi vesicle-mediated transport",5,0,0.46,1,1
"GO:0006898","receptor-mediated endocytosis",5,0,0.46,1,1
"GO:0006900","vesicle budding from membrane",3,0,0.28,1,1
"GO:0006901","vesicle coating",3,0,0.28,1,1
"GO:0006903","vesicle targeting",3,0,0.28,1,1
"GO:0006913","nucleocytoplasmic transport",15,0,1.39,1,1
"GO:0006936","muscle contraction",5,0,0.46,1,1
"GO:0006941","striated muscle contraction",4,0,0.37,1,1
"GO:0006979","response to oxidative stress",3,0,0.28,1,1
"GO:0007006","mitochondrial membrane organization",5,0,0.46,1,1
"GO:0007007","inner mitochondrial membrane organization",5,0,0.46,1,1
"GO:0007018","microtubule-based movement",22,0,2.04,1,1
"GO:0007020","microtubule nucleation",3,0,0.28,1,1
"GO:0007034","vacuolar transport",7,0,0.65,1,1
"GO:0007160","cell-matrix adhesion",4,0,0.37,1,1
"GO:0007167","enzyme-linked receptor protein signaling pathway",11,0,1.02,1,1
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway",8,0,0.74,1,1
"GO:0007173","epidermal growth factor receptor signaling pathway",6,0,0.56,1,1
"GO:0007175","negative regulation of epidermal growth factor-activated receptor activity",3,0,0.28,1,1
"GO:0007176","regulation of epidermal growth factor-activated receptor activity",3,0,0.28,1,1
